x,y
1.427846,0.081036
1.528101,0.073060
1.628217,0.065238
1.728202,0.057570
1.828065,0.050057
1.927813,0.042700
2.039901,0.034609
2.151865,0.026717
2.263715,0.019023
2.375464,0.011530
2.487122,0.004237
2.598700,-0.002854
2.710210,-0.009743
2.821662,-0.016428
2.933068,-0.022910
3.044440,-0.029186
3.155787,-0.035257
3.267123,-0.041121
3.378456,-0.046778
3.489800,-0.052227
3.601165,-0.057467
3.712562,-0.062497
3.824002,-0.067316
3.935497,-0.071924
4.047058,-0.076319
4.158696,-0.080502
4.270421,-0.084470
4.382247,-0.088224
4.494183,-0.091762
4.606240,-0.095084
4.718431,-0.098188
4.830765,-0.101074
4.930748,-0.103456
5.030862,-0.105665
5.131114,-0.107699
5.231507,-0.109561
5.332014,-0.111268
5.432599,-0.112839
5.533226,-0.114295
5.633858,-0.115658
5.734461,-0.116947
5.834997,-0.118184
5.935430,-0.119389
6.035725,-0.120583
6.135846,-0.121787
6.248228,-0.123178
6.360291,-0.124636
6.471986,-0.126192
6.583259,-0.127874
6.694061,-0.129712
6.804338,-0.131735
6.914041,-0.133973
7.023118,-0.136455
7.131544,-0.139202
7.239472,-0.142179
7.347127,-0.145325
7.454734,-0.148581
7.562517,-0.151890
7.670700,-0.155191
7.779509,-0.158426
7.889169,-0.161535
7.999903,-0.164460
8.111936,-0.167142
8.212794,-0.169273
8.315013,-0.171123
8.418753,-0.172652
8.524170,-0.173817
8.631422,-0.174577
8.740667,-0.174891
8.851690,-0.174415
8.963193,-0.171933
9.073677,-0.166066
9.181645,-0.155435
9.285600,-0.138664
9.384044,-0.114372
9.486343,-0.076341
9.577641,-0.025086
9.655806,0.041354
9.718912,0.124581
9.767082,0.222628
9.798402,0.318991
9.819854,0.421078
9.832352,0.526063
9.836812,0.631119
9.834394,0.733988
9.827245,0.834674
9.816523,0.946050
9.806246,1.056203
9.799819,1.165948
9.800471,1.276071
9.808322,1.386865
9.820817,1.498201
9.833686,1.597503
9.846281,1.697018
9.856747,1.796643
9.863667,1.908727
9.863557,2.020703
9.857146,2.132552
9.845862,2.244285
9.832897,2.343511
9.818218,2.442658
9.802828,2.541732
9.787731,2.640739
9.772349,2.752048
9.760040,2.863289
9.752234,2.974471
9.750360,3.085601
9.755442,3.196689
9.766658,3.307740
9.782670,3.418759
9.799846,3.517419
9.818812,3.616062
9.838629,3.714690
9.858354,3.813308
9.877049,3.911919
9.893772,4.010525
9.909058,4.121458
9.919319,4.232395
9.923216,4.343343
9.919750,4.454306
9.909878,4.565302
9.895259,4.676349
9.877553,4.787467
9.860564,4.886313
9.843613,4.985244
9.827865,5.084273
9.814485,5.183412
9.803715,5.295094
9.799078,5.406954
9.802231,5.519009
9.812198,5.618763
9.827686,5.718567
9.847224,5.818322
9.869339,5.917927
9.892562,6.017282
9.915420,6.116289
9.936442,6.214846
9.956065,6.325062
9.969408,6.434442
9.974376,6.542843
9.968880,6.650125
9.952295,6.756374
9.927205,6.862178
9.896620,6.968192
9.863549,7.075070
9.834501,7.171326
9.807983,7.269242
9.786109,7.369275
9.770993,7.471887
9.764626,7.577492
9.766377,7.685553
9.773101,7.794621
9.781555,7.903210
9.788493,8.009835
9.790671,8.113010
9.783391,8.223110
9.761360,8.324850
9.719957,8.416113
9.655032,8.494952
9.568728,8.561651
9.479436,8.612268
9.383243,8.656126
9.284853,8.694558
9.187088,8.728101
9.089913,8.756086
8.980956,8.779968
8.872011,8.794747
8.762690,8.799335
8.652754,8.793800
8.542262,8.780543
8.431310,8.762247
8.332377,8.743923
8.233223,8.725623
8.133915,8.709231
8.034518,8.696546
7.922633,8.687197
7.810693,8.682140
7.698711,8.680382
7.586701,8.680930
7.474676,8.682790
7.362647,8.684969
7.250626,8.686717
7.138613,8.687993
